memorialis_naam,naam,QID,Facebook_ID,social media followers,image,commons_category,LinkedIn_ID,Twitter_username,geboortejaar,sterfjaar,911    1,naam alternatief,681   ,902   ,903   ,viaf id,Column 1,035   ,035    1,670   ,375   ,900   ,901   ,920   ,046   ,905   ,COR   ,911   ,912   ,910   ,85642 ,906   ,5001  ,904   ,000   ,678   ,8564  ,1101  ,5102  ,4101  ,908   ,599   ,856   ,998   ,4102  
"De Moor, Georges",Georges De Moor,Q5546790,,,,,,,1953,,faculteit Geneeskunde en Gezondheidswetenschapp,,"$$aWiskunde, Toegepaste Wiskunde en Informatica",,,76190944,000003958 ,$$a(viaf)76190944,$$a,$$aEerste vermelding Studiegids 1999-00,$$aman,,,$$apersoon,$$f19530825$$gunknown$$s1999$$tunknown,,"$$aDe Moor, Georges$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2001$$tunknown$$ihoofddocent$$0mem10:000006060,,$$avakgroep Maatschappelijke Gezondheidkunde$$gGE12$$0mem10:000006084,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/958/000003958-01.jpg,,,,,,,,,,,,,,
"De Moor, Roeland",Roeland De Moor,Q55232685,,,,,,,1962,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aTandheelkunde,,,305748713,000003960 ,$$a(viaf)305748713,$$a,$$aEerste vermelding Studiegids 1999-00,$$aman,,,$$apersoon,$$f19620124$$gunknown$$s1999$$tunknown,,"$$aDe Moor, Roeland$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2009$$tunknown$$ihoogleraar$$0mem10:000006060,$$avakgroep Tandheelkunde$$gGE11$$s2012$$t2014$$ivoorzitter$$0mem10:000006083,$$avakgroep Tandheelkunde$$gGE11$$0mem10:000006083,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/960/000003960-01.jpg,,,,,,,,,,,,,,
"De Neve, Stefaan",Stefaan De Neve,Q55232611,,,,,stefaan-de-neve-47a84527,,1966,,faculteit Bio-Ingenieurswetenschappen$$gBW$$s20,,$$aToegepaste Biologische Wetenschappen,,,215386545,000003964 ,$$a(viaf)215386545,$$a,$$aEerste vermelding Studiegids 2004-05,$$aman,,,$$apersoon,$$f19660102$$gunknown$$s2004$$tunknown,,"$$aDe Neve, Stefaan$$0ZZZ",$$afaculteit Bio-Ingenieurswetenschappen$$gBW$$s2008$$tunknown$$ihoofddocent$$0mem10:000006188,$$avakgroep Bodembeheer$$gBW12$$sunknown$$tunknown$$ivoorzitter$$0mem10:000006204,$$avakgroep Bodembeheer$$gBW12$$0mem10:000006204,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/964/000003964-01.jpg,,,,,,,,,,,,,,
"De Neve, Wilfried",Wilfried De Neve,Q88104807,,,,,,,1955,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aAndere Medische Disciplines,,,,000003965 ,$$aNIV,$$aNIV,$$aEerste vermelding Studiegids 1993-94,$$aman,,,$$apersoon,$$f19550618$$gunknown$$s1993$$tunknown,,"$$aDe Neve, Wilfried$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2005$$tunknown$$ibuitengewoon hoogleraar$$0mem10:000006060,,$$avakgroep Radiotherapie en Experimenteel Kankeronderzoek$$gGE17$$0mem10:000006090,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/965/000003965-01.jpg,,,,,,,,,,,,,,
"De Oliveira, Dulce",Dulce De Oliveira,,,,,,,,1955,,faculteit Wetenschappen$$gWE$$s2002$$tunknown$$,,$$aToegepaste Biologische Wetenschappen,,,,000003966 ,$$aNIV,$$aNIV,$$aEerste vermelding Studiegids 2002-04,$$aman,,,$$apersoon,$$f19550507$$gunknown$$sunknown$$tunknown,,"$$aDe Oliveira, Dulce$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2002$$tunknown$$igastdocent$$0mem10:000006034,,$$avakgroep Plantenbiotechnologie en Bio-Informatica$$gWE09$$0mem10:000006053,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/966/000003966-01.jpg,,,,,,,,,,,,,,
"De Paepe, Anne",Anne De Paepe,Q13429701,,,Anne De Paepe.jpg,Anne De Paepe,,,1955,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aMedische Basiswetenschappen,,,1.9614530438917856E20,000003967 ,$$a(viaf)196145304389178570396,$$a,$$aEerste vermelding Studiegids 1994-95,$$avrouw,,,$$apersoon,$$f19551004$$gunknown$$s1994$$tunknown,,"$$aDe Paepe, Anne$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2003$$tunknown$$igewoon hoogleraar$$0mem10:000006060,$$aUniversiteit Gent$$s2013$$t2015$$irector,$$avakgroep Pediatrie en Genetica$$gGE02$$0mem10:000006071,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/967/000003967-01.jpg,,,,,,,,,,,,,,
"De Pauw, Niels",Niels De Pauw,,,,,,,,1944,2018,Universiteit Gent$$s20071001$$iemeritus,"De Pauw, Cornelius",$$aToegepaste Biologische Wetenschappen,,,288974388,000003971 ,$$a(viaf)288974388,$$a,$$aEerste vermelding Studiegids 1992-93,$$aman,$$aSint-Niklaas$$bOost-Vlaanderen$$cBelgië,,$$apersoon,$$f19440502$$g20180523$$s1992$$t2007,,"$$aDe Pauw, Niels$$0(viaf)288974388$$0ZZZ",$$aUniversiteit Gent$$s20071001$$iemeritus,$$afaculteit Bio-Ingenieurswetenschappen$$gBW$$s2004$$t2005$$isecretaris$$0mem10:000006188,$$avakgroep Toegepaste Ecologie en Milieubiologie$$gBW09$$0mem10:000006201,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/971/000003971-01.jpg,,,,,"$$aProf. dr. De Pauw was een gepassioneerde lesgever. In binnen en buitenland is hij gekend voor zijn cursussen inzake biologische waterkwaliteitsbeoordeling, die hij -naast zijn onderwijspakket aan de Universiteit Gent- ook vaak aanbood in de context van Europese projecten, evenals voor de Vlaamse Inter-Universitaire Raad (VLIR) en UNESCO in het kader van ontwikkelingssamenwerking. Als onderzoeker heeft prof. dr. De Pauw belangrijk pionierswerk geleverd inzake algengemeenschappen in de Schelde en de ontwikkeling van beoordelingssystemen voor de waterkwaliteit. Heel wat methoden van de Vlaamse Milieumaatschappij vinden hun oorsprong in zijn onderzoek, en worden vandaag nog altijd gebruikt bij de evaluatie van de waterkwaliteit in Vlaanderen. Hij heeft nadien deze methoden aangepast en hun ingang doen vinden in diverse ontwikkelingslanden zoals Vietnam, Ethiopië en Ecuador. Hij was tevens een officieel-erkende MER-deskundige, en voerde diverse studies uit voor bedrijven in Vlaanderen, vaak in samenwerking met studiebureaus en collega’s uit andere vakgebieden. Gedurende vele jaren was hij editor van Aquatic Ecology (Elsevier) en was hij ook een sleutelpersoon voor de Nederlands-Vlaamse Vereniging voor Ecologie (NecoV), waarvan hij zowel medeoprichter als ook verschillende jaren voorzitter was. Prof. dr. Niels De Pauw verkreeg de titels van “Grootofficier in de Orde van Leopold II” en het “Burgerlijk Kruis 1ste Klasse”. Prof. Niels De Pauw overleed op 23 mei 2018.",,,,,,,,,
"De Pauw, Guy",Guy De Pauw,Q55233487,,,,,,,1962,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aTandheelkunde,,,290918867,000003972 ,$$a(viaf)290918867,$$a,$$aEerste vermelding Studiegids 2007-08,$$aman,,,$$apersoon,$$f19620517$$gunknown$$s2007$$tunknown,,"$$aDe Pauw, Guy$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2007$$tunknown$$idocent$$0mem10:000006060,$$avakgroep Tandheelkunde$$gGE11$$s2008$$t2012$$ivoorzitter$$0mem10:000006083,$$avakgroep Tandheelkunde$$gGE11$$0mem10:000006083,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/972/000003972-01.jpg,,,,,,,,,,,,,,
"De Pelsmacker, Patrick",Patrick De Pelsmacker,Q55233641,,,,,,,1957,,faculteit Economie en Bedrijfskunde$$gEB$$s2006,,"$$aEconomie, Bedrijfseconomie en Management",,,15054858,000003973 ,$$a(viaf)15054858,$$a,$$aEerste vermelding Studiegids 1995-96,$$aman,,,$$apersoon,$$f19570926$$gunknown$$s1995$$tunknown,,"$$aDe Pelsmacker, Patrick$$0ZZZ",$$afaculteit Economie en Bedrijfskunde$$gEB$$s2006$$tunknown$$ibuitengewoon hoogleraar$$0mem10:000006129,,$$avakgroep Marketing$$gEB07$$0mem10:000006143,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/973/000003973-01.jpg,,,,,,,,,,,,,,
"De Prycker, Martin",Martin De Prycker,Q2678890,,,,,,,1955,,faculteit Ingenieurswetenschappen en Architectu,,"$$aEnergie, Elektrotechniek, Elektronica en Werktuigkunde",,,,000003979 ,$$a(biblio),$$a(biblio),$$aEerste vermelding Studiegids 1995-96,$$aman,,,$$apersoon,$$f19550116$$gunknown$$s1995$$tunknown,,"$$aDe Prycker, Martin$$0ZZZ",$$afaculteit Ingenieurswetenschappen en Architectuur$$gEA$$s2002$$tunknown$$igastdocent$$0mem10:000006102,,$$avakgroep Informatietechnologie$$gEA05$$0mem10:000006112,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/979/000003979-01.jpg,,,,,,,,,,,,,,
